index,Year,Month,State,Species,Location,normalized_food,Illnesses,Hospitalizations,Fatalities,Are_there_Hospitalizations,Are_there_Fatalities,Log_Illnesses,Most_common_Location,Most_common_Species
18455,2014,December,CA,shigella sonnei,other; private home/residence,ground beef cheeseburger,11.0,0.0,0.0,0,0,2.3978952727983707,bulk_Location,bulk_Species
18456,2014,June,CA,norovirus,"restaurant - ""fast-food""(drive up service or pay at counter)",ground beef cheeseburger,11.0,0.0,0.0,0,0,2.3978952727983707,"restaurant - ""fast-food""(drive up service or pay at counter)",norovirus
18457,2015,February,CA,norovirus,"restaurant - ""fast-food""(drive up service or pay at counter)",ground beef cheeseburger,2.0,0.0,0.0,0,0,0.6931471805599453,"restaurant - ""fast-food""(drive up service or pay at counter)",norovirus
18458,2014,December,CA,salmonella enterica,restaurant - sit-down dining,cheese unpasteurized,5.0,0.0,0.0,0,0,1.6094379124341003,restaurant - sit-down dining,salmonella enterica
18459,2015,February,CA,salmonella enterica,restaurant - sit-down dining,cheese unpasteurized,8.0,0.0,0.0,0,0,2.0794415416798357,restaurant - sit-down dining,salmonella enterica
18460,2014,November,CA,salmonella enterica,private home/residence,cheese unpasteurized,5.0,1.0,0.0,1,0,1.6094379124341003,private home/residence,salmonella enterica
18461,2014,April,CA,salmonella enterica,restaurant - sit-down dining,ham,22.0,8.0,0.0,1,0,3.091042453358316,restaurant - sit-down dining,salmonella enterica
18462,2015,June,FL,staphylococcus aureus,"restaurant - ""fast-food""(drive up service or pay at counter)",ham,3.0,0.0,0.0,0,0,1.0986122886681098,"restaurant - ""fast-food""(drive up service or pay at counter)",staphylococcus aureus
18463,2015,May,RI,staphylococcus aureus,restaurant - sit-down dining,ham,3.0,0.0,0.0,0,0,1.0986122886681098,restaurant - sit-down dining,staphylococcus aureus
18464,2014,May,CA,norovirus,restaurant - sit-down dining,specialtyethnic dish,7.0,0.0,0.0,0,0,1.9459101490553132,restaurant - sit-down dining,norovirus
18465,2014,December,CA,other - bacterium,restaurant - other or unknown type,hummus,96.0,0.0,0.0,0,0,4.564348191467836,restaurant - other or unknown type,bulk_Species
18466,2014,June,VA,listeria monocytogenes,private home/residence; restaurant - sit-down dining,sprout,2.0,2.0,0.0,1,0,0.6931471805599453,bulk_Location,bulk_Species
18467,2015,June,IL,norovirus genogroup i,restaurant - sit-down dining,noodle specialtyethnic dish,24.0,1.0,0.0,1,0,3.1780538303479458,restaurant - sit-down dining,norovirus genogroup i
18468,2015,June,FL,norovirus,restaurant - sit-down dining,noodle specialtyethnic dish,4.0,0.0,0.0,0,0,1.3862943611198906,restaurant - sit-down dining,norovirus
18469,2014,May,CA,norovirus,restaurant - sit-down dining,noodle specialtyethnic dish,7.0,0.0,0.0,0,0,1.9459101490553132,restaurant - sit-down dining,norovirus
18470,2014,May,CA,norovirus,private home/residence,macaroni salad pork sandwich chicken,10.0,0.0,0.0,0,0,2.302585092994046,private home/residence,norovirus
18471,2014,June,CA,norovirus,banquet facility (food prepared and served on-site),salmon spice,18.0,0.0,0.0,0,0,2.8903717578961645,banquet facility (food prepared and served on-site),norovirus
18472,2015,May,OR,norovirus genogroup ii,restaurant - sit-down dining,fish amberjack,2.0,0.0,0.0,0,0,0.6931471805599453,restaurant - sit-down dining,norovirus genogroup ii
18473,2015,May,MN,campylobacter jejuni,private home/residence,fish amberjack,13.0,1.0,0.0,1,0,2.5649493574615367,private home/residence,campylobacter jejuni
18474,2015,May,MD,ciguatoxin,restaurant - sit-down dining,fish amberjack,2.0,0.0,0.0,0,0,0.6931471805599453,restaurant - sit-down dining,bulk_Species
18475,2015,June,NY,ciguatoxin,restaurant - sit-down dining,fish amberjack,9.0,0.0,0.0,0,0,2.1972245773362196,restaurant - sit-down dining,bulk_Species
18476,2014,March,GA,ciguatoxin,private home/residence,fish amberjack,14.0,0.0,0.0,0,0,2.6390573296152584,private home/residence,bulk_Species
18477,2015,May,FL,salmonella enterica,caterer (food prepared off-site from where served),fettuccine alfredo,14.0,0.0,0.0,0,0,2.6390573296152584,caterer (food prepared off-site from where served),salmonella enterica
18478,2015,June,WI,norovirus genogroup ii,restaurant - sit-down dining,soup,4.0,0.0,0.0,0,0,1.3862943611198906,restaurant - sit-down dining,norovirus genogroup ii
18479,2015,June,MN,norovirus genogroup i,restaurant - sit-down dining,soup,17.0,0.0,0.0,0,0,2.833213344056216,restaurant - sit-down dining,norovirus genogroup i
18480,2015,June,MN,clostridium perfringens,banquet facility (food prepared and served on-site); private home/residence,soup,14.0,0.0,0.0,0,0,2.6390573296152584,bulk_Location,clostridium perfringens
18481,2015,June,OH,listeria monocytogenes,restaurant - sit-down dining,ice cream commercial,2.0,0.0,0.0,0,0,0.6931471805599453,restaurant - sit-down dining,bulk_Species
18482,2010,January,MUL_STATE,listeria monocytogenes,hospital,ice cream commercial,10.0,10.0,3.0,1,1,2.302585092994046,bulk_Location,bulk_Species
18483,2015,June,OR,norovirus genogroup ii,restaurant - sit-down dining,coleslaw,9.0,0.0,0.0,0,0,2.1972245773362196,restaurant - sit-down dining,norovirus genogroup ii
18484,2015,June,FL,staphylococcus,restaurant - sit-down dining,coleslaw,3.0,0.0,0.0,0,0,1.0986122886681098,restaurant - sit-down dining,bulk_Species
18485,2015,May,MN,salmonella enterica,private home/residence,stuffed chicken,5.0,2.0,0.0,1,0,1.6094379124341003,private home/residence,salmonella enterica
18486,2015,May,AK,clostridium botulinum,private home/residence,seal flipper,3.0,3.0,0.0,1,0,1.0986122886681098,private home/residence,bulk_Species
18487,2015,June,CT,norovirus genogroup ii,caterer (food prepared off-site from where served); grocery store; private home/residence,cashew,14.0,0.0,0.0,0,0,2.6390573296152584,bulk_Location,norovirus genogroup ii
18488,2014,August,ME,listeria monocytogenes,other,cashew,2.0,2.0,0.0,1,0,0.6931471805599453,other,bulk_Species
18489,2015,February,AZ,salmonella enterica,restaurant - sit-down dining,cashew,2.0,1.0,0.0,1,0,0.6931471805599453,restaurant - sit-down dining,salmonella enterica
18490,2014,August,AZ,salmonella enterica,banquet facility (food prepared and served on-site); caterer (food prepared off-site from where served); religious facility,cashew,19.0,3.0,0.0,1,0,2.9444389791664403,bulk_Location,salmonella enterica
18491,2015,June,UT,norovirus genogroup ii; norovirus genogroup ii; other; other,restaurant - sit-down dining,cashew,6.0,0.0,0.0,0,0,1.791759469228055,restaurant - sit-down dining,bulk_Species
18492,2015,April,IL,norovirus genogroup ii; norovirus genogroup ii; other; other,restaurant - sit-down dining,cashew,22.0,0.0,0.0,0,0,3.091042453358316,restaurant - sit-down dining,bulk_Species
18493,2015,May,KY,salmonella enterica,caterer (food prepared off-site from where served),cashew,6.0,4.0,0.0,1,0,1.791759469228055,caterer (food prepared off-site from where served),salmonella enterica
18494,2014,December,MUL_STATE,salmonella enterica,private home/residence,cashew,18.0,4.0,0.0,1,0,2.8903717578961645,private home/residence,salmonella enterica
18495,2015,June,OH,norovirus,unknown,sandwich meatball,2.0,0.0,0.0,0,0,0.6931471805599453,unknown,norovirus
18496,2015,June,FL,norovirus genogroup i,grocery store; private home/residence; restaurant - sit-down dining,raw milk,18.0,0.0,0.0,0,0,2.8903717578961645,bulk_Location,norovirus genogroup i
18497,2015,April,NH,"escherichia coli, shiga toxin-producing",restaurant - sit-down dining,raw milk,13.0,0.0,0.0,0,0,2.5649493574615367,restaurant - sit-down dining,"escherichia coli, shiga toxin-producing"
18498,2015,June,VA,"escherichia coli, shiga toxin-producing",school/college/university,raw milk,8.0,0.0,0.0,0,0,2.0794415416798357,school/college/university,"escherichia coli, shiga toxin-producing"
18499,2015,June,IL,other,private home/residence,raw milk,8.0,1.0,0.0,1,0,2.0794415416798357,private home/residence,bulk_Species
18500,2015,April,TN,salmonella enterica,unknown,raw milk,3.0,1.0,0.0,1,0,1.0986122886681098,unknown,salmonella enterica
18501,2015,May,TN,salmonella enterica,restaurant - sit-down dining,raw milk,4.0,0.0,0.0,0,0,1.3862943611198906,restaurant - sit-down dining,salmonella enterica
18503,2015,June,TN,cryptosporidium,restaurant - sit-down dining,raw milk,2.0,0.0,0.0,0,0,0.6931471805599453,restaurant - sit-down dining,bulk_Species
18504,2015,June,TN,bacillus cereus,restaurant - sit-down dining,mole sauce,4.0,0.0,0.0,0,0,1.3862943611198906,restaurant - sit-down dining,bacillus cereus
18505,2015,June,IL,norovirus; salmonella enterica; salmonella enterica,grocery store,mole sauce,10.0,6.0,0.0,1,0,2.302585092994046,grocery store,bulk_Species
18506,2015,June,MD,clostridium perfringens,prison/jail,burrito,30.0,0.0,0.0,0,0,3.4011973816621555,bulk_Location,clostridium perfringens
18507,2015,June,IL,norovirus,caterer (food prepared off-site from where served),pulled pork,4.0,1.0,0.0,1,0,1.3862943611198906,caterer (food prepared off-site from where served),norovirus
18508,2015,June,IL,norovirus,restaurant - sit-down dining,pulled pork,4.0,0.0,0.0,0,0,1.3862943611198906,restaurant - sit-down dining,norovirus
18509,2015,June,OH,"escherichia coli, shiga toxin-producing",restaurant - sit-down dining,pulled pork,2.0,1.0,0.0,1,0,0.6931471805599453,restaurant - sit-down dining,"escherichia coli, shiga toxin-producing"
